Rapport d'historique de trading,,,,,,,,,,,,,
Nom:,,,My Funded FX - One Step Challenge - Sebastien MORAZZANI-MARIGNY,,,,,,,,,,
Compte:,,,"3095006 (USD, ThinkMarkets-Demo, demo, Hedge)",,,,,,,,,,
Courtier:,,,TF Global Markets (Aust) Pty Ltd,,,,,,,,,,
Date:,,,2023.12.05 14:06,,,,,,,,,,
Positions,,,,,,,,,,,,,
Heure,Position,Symbole,Type,Volume,Prix,S / L,T / P,Heure,Prix,Commission,Echange,Profit,
2023.11.30 12:52:17,55685165,EURUSDx,buy,0.63, 1.09186, 1.09146, 1.09306,2023.11.30 13:01:57, 1.09146,- 4.41,0.00,- 25.20,
2023.11.30 13:06:49,55691100,EURUSDx,buy,0.63, 1.09172, 1.09136, 1.09292,2023.11.30 13:10:31, 1.09136,- 4.41,0.00,- 22.68,
2023.11.30 13:13:59,55693770,EURUSDx,buy,0.63, 1.09155, 1.09112, 1.09284,2023.11.30 13:19:42, 1.09112,- 4.41,0.00,- 27.09,
2023.12.01 17:17:00,56474042,EURUSDx,sell,0.42, 1.08490, 1.08546, 1.08322,2023.12.01 17:19:12, 1.08546,- 2.94,0.00,- 23.52,
2023.12.01 17:27:03,56491408,EURUSDx,sell,0.42, 1.08492, 1.08482, 1.08291,2023.12.01 18:01:19, 1.08291,- 2.94,0.00, 84.42,
2023.12.04 11:05:56,57001842,EURUSDx,buy,0.03, 1.08691, 1.08621, 1.08901,2023.12.04 12:15:30, 1.08621,- 0.21,0.00,- 2.10,
2023.12.04 11:15:01,57007735,EURUSDx,buy,0.22, 1.08702, 1.08641, 1.08885,2023.12.04 12:12:23, 1.08641,- 1.54,0.00,- 13.42,
2023.12.04 11:15:28,57007917,EURUSDx,buy,0.45, 1.08708, 1.08641, 1.08909,2023.12.04 12:12:23, 1.08641,- 3.15,0.00,- 30.15,
2023.12.04 14:57:09,57108527,EURUSDx,sell,0.38, 1.08677, 1.08736, 1.08500,2023.12.04 15:20:00, 1.08736,- 2.66,0.00,- 22.42,
2023.12.04 15:59:35,57149366,EURUSDx,sell,0.42, 1.08543, 1.08533, 1.08363,2023.12.04 16:12:15, 1.08363,- 2.94,0.00, 75.60,
2023.12.05 14:08:24,57608410,EURUSDx,sell,0.83, 1.08191, 1.08186, 1.08101,2023.12.05 15:01:22, 1.08186,- 5.81,0.00, 4.15,
Ordres,,,,,,,,,,,,,
Heure d'ouverture,Ordre,Symbole,Type,Volume,Prix,S / L,T / P,Heure,État,,Commentaire,,
2023.11.30 12:48:29,55685165,EURUSDx,buy limit,0.63 / 0.63, 1.09186, 1.09146, 1.09306,2023.11.30 12:52:17,filled,,,,
2023.11.30 13:01:57,55689763,EURUSDx,sell,0.63 / 0.63, 1.09146,,,2023.11.30 13:01:57,filled,,[sl 1.09146],,
2023.11.30 13:06:49,55691100,EURUSDx,buy,0.63 / 0.63,market, 1.09136, 1.09296,2023.11.30 13:06:49,filled,,,,
2023.11.30 13:10:31,55692593,EURUSDx,sell,0.63 / 0.63, 1.09136,,,2023.11.30 13:10:31,filled,,[sl 1.09136],,
